#;Nome;Tipo 1;Tipo 2;Total;Ataque;Defesa;Atq Esp;Def Esp;Velocidade;Geracao;Lendario
1;Bulbasaur;Planta;Venenoso;318;49;49;65;65;45;1;False
2;Ivysaur;Planta;Venenoso;405;62;63;80;80;60;1;False
3;Venusaur;Planta;Venenoso;525;82;83;100;100;80;1;False
3;VenusaurMega Venusaur;Planta;Venenoso;625;100;123;122;120;80;1;False
4;Charmander;Fogo;;309;52;43;60;50;65;1;False
5;Charmeleon;Fogo;;405;64;58;80;65;80;1;False
6;Charizard;Fogo;Voador;534;84;78;109;85;100;1;False
6;CharizardMega Charizard X;Fogo;Dragao;634;130;111;130;85;100;1;False
6;CharizardMega Charizard Y;Fogo;Voador;634;104;78;159;115;100;1;False
7;Squirtle;Agua;;314;48;65;50;64;43;1;False
8;Wartortle;Agua;;405;63;80;65;80;58;1;False
9;Blastoise;Agua;;530;83;100;85;105;78;1;False
9;BlastoiseMega Blastoise;Agua;;630;103;120;135;115;78;1;False
10;Caterpie;Inseto;;195;30;35;20;20;45;1;False
11;Metapod;Inseto;;205;20;55;25;25;30;1;False
12;Butterfree;Inseto;Voador;395;45;50;90;80;70;1;False
13;Weedle;Inseto;Venenoso;195;35;30;20;20;50;1;False
14;Kakuna;Inseto;Venenoso;205;25;50;25;25;35;1;False
15;Beedrill;Inseto;Venenoso;395;90;40;45;80;75;1;False
15;BeedrillMega Beedrill;Inseto;Venenoso;495;150;40;15;80;145;1;False
16;Pidgey;Normal;Voador;251;45;40;35;35;56;1;False
17;Pidgeotto;Normal;Voador;349;60;55;50;50;71;1;False
18;Pidgeot;Normal;Voador;479;80;75;70;70;101;1;False
18;PidgeotMega Pidgeot;Normal;Voador;579;80;80;135;80;121;1;False
19;Rattata;Normal;;253;56;35;25;35;72;1;False
20;Raticate;Normal;;413;81;60;50;70;97;1;False
21;Spearow;Normal;Voador;262;60;30;31;31;70;1;False
22;Fearow;Normal;Voador;442;90;65;61;61;100;1;False
23;Ekans;Venenoso;;288;60;44;40;54;55;1;False
24;Arbok;Venenoso;;438;85;69;65;79;80;1;False
25;Pikachu;Electric;;320;55;40;50;50;90;1;False
26;Raichu;Electric;;485;90;55;90;80;110;1;False
27;Sandshrew;Terra;;300;75;85;20;30;40;1;False
28;Sandslash;Terra;;450;100;110;45;55;65;1;False
29;Nidoran (Female);Venenoso;;275;47;52;40;40;41;1;False
30;Nidorina;Venenoso;;365;62;67;55;55;56;1;False
31;Nidoqueen;Venenoso;Terra;505;92;87;75;85;76;1;False
32;Nidoran (Male);Venenoso;;273;57;40;40;40;50;1;False
33;Nidorino;Venenoso;;365;72;57;55;55;65;1;False
34;Nidoking;Venenoso;Terra;505;102;77;85;75;85;1;False
35;CleFada;Fada;;323;45;48;60;65;35;1;False
36;Clefable;Fada;;483;70;73;95;90;60;1;False
37;Vulpix;Fogo;;299;41;40;50;65;65;1;False
38;Ninetales;Fogo;;505;76;75;81;100;100;1;False
39;Jigglypuff;Normal;Fada;270;45;20;45;25;20;1;False
40;Wigglytuff;Normal;Fada;435;70;45;85;50;45;1;False
41;Zubat;Venenoso;Voador;245;45;35;30;40;55;1;False
42;Golbat;Venenoso;Voador;455;80;70;65;75;90;1;False
43;Oddish;Planta;Venenoso;320;50;55;75;65;30;1;False
44;Gloom;Planta;Venenoso;395;65;70;85;75;40;1;False
45;Vileplume;Planta;Venenoso;490;80;85;110;90;50;1;False
46;Paras;Inseto;Planta;285;70;55;45;55;25;1;False
47;Parasect;Inseto;Planta;405;95;80;60;80;30;1;False
48;Venonat;Inseto;Venenoso;305;55;50;40;55;45;1;False
49;Venomoth;Inseto;Venenoso;450;65;60;90;75;90;1;False
50;Diglett;Terra;;265;55;25;35;45;95;1;False
51;Dugtrio;Terra;;405;80;50;50;70;120;1;False
52;Meowth;Normal;;290;45;35;40;40;90;1;False
53;Persian;Normal;;440;70;60;65;65;115;1;False
54;Psyduck;Agua;;320;52;48;65;50;55;1;False
55;Golduck;Agua;;500;82;78;95;80;85;1;False
56;Mankey;Lutador;;305;80;35;35;45;70;1;False
57;Primeape;Lutador;;455;105;60;60;70;95;1;False
58;Growlithe;Fogo;;350;70;45;70;50;60;1;False
59;Arcanine;Fogo;;555;110;80;100;80;95;1;False
60;Poliwag;Agua;;300;50;40;40;40;90;1;False
61;Poliwhirl;Agua;;385;65;65;50;50;90;1;False
62;Poliwrath;Agua;Lutador;510;95;95;70;90;70;1;False
63;Abra;Psiquico;;310;20;15;105;55;90;1;False
64;Kadabra;Psiquico;;400;35;30;120;70;105;1;False
65;Alakazam;Psiquico;;500;50;45;135;95;120;1;False
65;AlakazamMega Alakazam;Psiquico;;590;50;65;175;95;150;1;False
66;Machop;Lutador;;305;80;50;35;35;35;1;False
67;Machoke;Lutador;;405;100;70;50;60;45;1;False
68;Machamp;Lutador;;505;130;80;65;85;55;1;False
69;Bellsprout;Planta;Venenoso;300;75;35;70;30;40;1;False
70;Weepinbell;Planta;Venenoso;390;90;50;85;45;55;1;False
71;Victreebel;Planta;Venenoso;490;105;65;100;70;70;1;False
72;Tentacool;Agua;Venenoso;335;40;35;50;100;70;1;False
73;Tentacruel;Agua;Venenoso;515;70;65;80;120;100;1;False
74;Geodude;Pedra;Terra;300;80;100;30;30;20;1;False
75;Graveler;Pedra;Terra;390;95;115;45;45;35;1;False
76;Golem;Pedra;Terra;495;120;130;55;65;45;1;False
77;Ponyta;Fogo;;410;85;55;65;65;90;1;False
78;Rapidash;Fogo;;500;100;70;80;80;105;1;False
79;Slowpoke;Agua;Psiquico;315;65;65;40;40;15;1;False
80;Slowbro;Agua;Psiquico;490;75;110;100;80;30;1;False
80;SlowbroMega Slowbro;Agua;Psiquico;590;75;180;130;80;30;1;False
81;Magnemite;Electric;Metalico;325;35;70;95;55;45;1;False
82;Magneton;Electric;Metalico;465;60;95;120;70;70;1;False
83;Farfetch'd;Normal;Voador;352;65;55;58;62;60;1;False
84;Doduo;Normal;Voador;310;85;45;35;35;75;1;False
85;Dodrio;Normal;Voador;460;110;70;60;60;100;1;False
86;Seel;Agua;;325;45;55;45;70;45;1;False
87;Dewgong;Agua;Gelo;475;70;80;70;95;70;1;False
88;Grimer;Venenoso;;325;80;50;40;50;25;1;False
89;Muk;Venenoso;;500;105;75;65;100;50;1;False
90;Shellder;Agua;;305;65;100;45;25;40;1;False
91;Cloyster;Agua;Gelo;525;95;180;85;45;70;1;False
92;Gastly;Fantasma;Venenoso;310;35;30;100;35;80;1;False
93;Haunter;Fantasma;Venenoso;405;50;45;115;55;95;1;False
94;Gengar;Fantasma;Venenoso;500;65;60;130;75;110;1;False
94;GengarMega Gengar;Fantasma;Venenoso;600;65;80;170;95;130;1;False
95;Onix;Pedra;Terra;385;45;160;30;45;70;1;False
96;Drowzee;Psiquico;;328;48;45;43;90;42;1;False
97;Hypno;Psiquico;;483;73;70;73;115;67;1;False
98;Krabby;Agua;;325;105;90;25;25;50;1;False
99;Kingler;Agua;;475;130;115;50;50;75;1;False
100;Voltorb;Electric;;330;30;50;55;55;100;1;False
101;Electrode;Electric;;480;50;70;80;80;140;1;False
102;Exeggcute;Planta;Psiquico;325;40;80;60;45;40;1;False
103;Exeggutor;Planta;Psiquico;520;95;85;125;65;55;1;False
104;Cubone;Terra;;320;50;95;40;50;35;1;False
105;Marowak;Terra;;425;80;110;50;80;45;1;False
106;Hitmonlee;Lutador;;455;120;53;35;110;87;1;False
107;Hitmonchan;Lutador;;455;105;79;35;110;76;1;False
108;Lickitung;Normal;;385;55;75;60;75;30;1;False
109;Koffing;Venenoso;;340;65;95;60;45;35;1;False
110;Weezing;Venenoso;;490;90;120;85;70;60;1;False
111;Rhyhorn;Terra;Pedra;345;85;95;30;30;25;1;False
112;Rhydon;Terra;Pedra;485;130;120;45;45;40;1;False
113;Chansey;Normal;;450;5;5;35;105;50;1;False
114;Tangela;Planta;;435;55;115;100;40;60;1;False
